design,resolution,depth,case,lambda,parent_n,observed_n,train_n,validation_n,region_D,parent_membership,membership_status,iterations,score,stopped,tail_feasible,invisible_initial,invisible_final,true_invisible,observed_law_TV,reference_RMSE,selected_oracle_RMSE,min_raw_ell_gain,Shat_0,Strue_0,Shat_1,Strue_1,Shat_2,Strue_2
coarse_d2,coarse,2,lambda1_N1600_r012,0,1600,1079,523,556,521,True,included,35,8.907664441915731e-09,True,True,0.1111111111111111,0.11111111111111092,0.25,0.0459632823211588,0.12754812288634773,0.24976543206019722,0.0,0.44964552124504614,0.5625,0.33921500811112815,0.46875,0.11111111111111092,0.25
coarse_d2,coarse,2,lambda1_N1600_r013,0,1600,1105,561,544,495,True,included,42,6.914342314990478e-09,True,True,0.1111111111111111,0.11111111111111142,0.25,0.036470042626422255,0.10625062427303308,0.22412015927680617,0.0,0.49723685058281686,0.5625,0.3671715409322029,0.46875,0.11111111111111142,0.25
coarse_d2,coarse,2,lambda1_N1600_r014,0,1600,1069,536,533,531,True,included,43,8.210219456171168e-09,True,True,0.1111111111111111,0.11111111111111102,0.25,0.05084758190782275,0.10166889229265903,0.2287106449386454,2.2737367544323206e-13,0.49631244184877477,0.5625,0.3830833514765697,0.46875,0.11111111111111102,0.25
coarse_d2,coarse,2,lambda1_N1600_r015,0,1600,1046,531,515,554,True,included,35,6.653686512742315e-09,True,True,0.1111111111111111,0.11111111111111083,0.25,0.025858299272362495,0.10770021598972981,0.23274650577898567,-2.2737367544323206e-13,0.48211041293521345,0.5625,0.3736426900418992,0.46875,0.11111111111111083,0.25
coarse_d2,coarse,2,lambda1_N1600_r016,0,1600,1048,511,537,552,True,included,37,9.804680277169651e-09,True,True,0.1111111111111111,0.11111111111111116,0.25,0.02397217544585313,0.11177480684860036,0.23069729752710594,-2.2737367544323206e-13,0.47893326506975664,0.5625,0.36288546536051797,0.46875,0.11111111111111116,0.25
coarse_d2,coarse,2,lambda1_N1600_r017,0,1600,1065,537,528,535,True,included,42,7.80362936043937e-09,True,True,0.1111111111111111,0.11111111111111098,0.25,0.0588477726063886,0.1040142130544474,0.2261631543537935,0.0,0.49938438982124356,0.5625,0.37292116380242835,0.46875,0.11111111111111098,0.25
coarse_d2,coarse,2,lambda1_N1600_r018,0,1600,1087,519,568,513,True,included,40,8.746571535735468e-09,True,True,0.1111111111111111,0.11111111111111142,0.25,0.03880032402130962,0.10048871492574296,0.22668455257135803,0.0,0.4961836113942813,0.5625,0.3874729514082421,0.46875,0.11111111111111142,0.25
coarse_d2,coarse,2,lambda1_N1600_r019,0,1600,1040,520,520,560,True,included,43,7.850010884060164e-09,True,True,0.1111111111111111,0.11111111111111104,0.25,0.034949129071009555,0.10362269840387124,0.23065652295749245,-2.2737367544323206e-13,0.4946961244489256,0.5625,0.3775058118181588,0.46875,0.11111111111111104,0.25
coarse_d2,coarse,2,lambda1_N400_r000,0,400,275,131,144,125,True,included,42,7.275106616527245e-09,True,True,0.1111111111111111,0.11111111111111133,0.25,0.05340432206009003,0.09476007451754323,0.22047076049395387,0.0,0.5165330097598151,0.5625,0.39435021828540273,0.46875,0.11111111111111133,0.25
coarse_d2,coarse,2,lambda1_N400_r001,0,400,280,145,135,120,True,included,43,9.366422456683461e-09,True,True,0.1111111111111111,0.11111111111111098,0.25,0.06831914298979166,0.09113270249009088,0.21905712162359298,-5.684341886080802e-14,0.5172511789380857,0.5625,0.4089342067246538,0.46875,0.11111111111111098,0.25
coarse_d2,coarse,2,lambda1_N400_r002,0,400,251,108,143,149,True,included,46,7.9149254268856e-09,True,True,0.1111111111111111,0.11111111111111095,0.25,0.073851837775603,0.11074146372963836,0.22602134519426156,-5.684341886080802e-14,0.4882219707816021,0.5625,0.35928006675077817,0.46875,0.11111111111111095,0.25
coarse_d2,coarse,2,lambda1_N400_r003,0,400,259,136,123,141,True,included,36,8.103128669986694e-09,True,True,0.1111111111111111,0.11111111111111102,0.25,0.0764291192277954,0.12965817789807088,0.24954628252928487,-5.684341886080802e-14,0.44822001504936193,0.5625,0.33427438559190303,0.46875,0.11111111111111102,0.25
