case,rho,design,parent_n,replicate,observed_n,A,B,C,D,train_n,validation_n,true_membership,logE_true,distance_to_threshold,prediction,arithmetic,method,resolved_bin_L1_Q,bright_probability_RMSE_Q,bright_probability_RMSE_P_reference,record_law_TV,invisible_mass,true_invisible_mass,Q_mass_resolved,seconds,iterations,score,status,tail_feasible,min_mean_loglik_gain,invisible_drift
rho0.90_N4000_r019,0.9,shallow,4000,19,2874,1636,609,629,1126,1435,1439,True,-599.4199222847707,602.4156545583247,stratumwise_add_one,float64 evaluation; not a rational certificate,no_D_ablation,0.17277479321558806,0.015749070118746322,0.07234309160781001,0.08770488152576453,0.0,0.24532588993020876,0.9062064564145529,0.007179778000022452,45,9.036729098355067e-08,score_tolerance_reached_not_global_certificate,,5.329070518200751e-15,0.1425369565965509
rho0.90_N4000_r019,0.9,shallow,4000,19,2874,1636,609,629,1126,1435,1439,True,-599.4199222847707,602.4156545583247,stratumwise_add_one,float64 evaluation; not a rational certificate,A_only_histogram,0.47778222352137717,0.13180602424771692,0.18609140676802421,0.293562462037007,0.0,0.24532588993020876,1.0,0.0,0,0.0,deliberately_uncorrected_histogram,,,
rho0.90_N4000_r019,0.9,deep,4000,19,3124,2009,543,572,876,1560,1564,True,-695.931594292429,698.9273265659831,stratumwise_add_one,float64 evaluation; not a rational certificate,D_completion,0.20722582277503,0.004043226690273618,0.005229945992072787,0.08422086389616376,0.033279071736023486,0.04394840071310855,0.9626136627013673,0.009535299000049235,42,7.870795781922665e-08,score_tolerance_reached_not_global_certificate,True,4.0095300413156565e-09,0.0
rho0.90_N4000_r019,0.9,deep,4000,19,3124,2009,543,572,876,1560,1564,True,-695.931594292429,698.9273265659831,stratumwise_add_one,float64 evaluation; not a rational certificate,no_D_ablation,0.3680768686584317,0.04443392492339765,0.052495818547051855,0.12147512400938093,0.0,0.04394840071310855,0.984776824141985,0.0048896939999849565,45,9.036729098355067e-08,score_tolerance_reached_not_global_certificate,,1.1122658349904668e-11,0.033279071736023486
rho0.90_N4000_r019,0.9,deep,4000,19,3124,2009,543,572,876,1560,1564,True,-695.931594292429,698.9273265659831,stratumwise_add_one,float64 evaluation; not a rational certificate,A_only_histogram,0.5030199556945824,0.11275172066003639,0.12034249894467712,0.2549097990577114,0.0,0.04394840071310855,1.0,0.0,0,0.0,deliberately_uncorrected_histogram,,,
rho0.90_N16000_r000,0.9,shallow,16000,0,11441,6555,2405,2481,4559,5734,5707,True,-750.5464061456163,753.5421384191703,stratumwise_add_one,float64 evaluation; not a rational certificate,D_completion,0.08179690307676113,0.004958130104856833,0.02079326349567593,0.03787630480861603,0.14253695659655094,0.24532588993020876,0.8236238050787948,0.0054221369999822855,40,7.503814837775591e-08,score_tolerance_reached_not_global_certificate,True,1.7763568394002505e-14,2.7755575615628914e-17
rho0.90_N16000_r000,0.9,shallow,16000,0,11441,6555,2405,2481,4559,5734,5707,True,-750.5464061456163,753.5421384191703,stratumwise_add_one,float64 evaluation; not a rational certificate,no_D_ablation,0.11795565596260225,0.012974934467400171,0.06953959612164806,0.05666701963149789,0.0,0.24532588993020876,0.9039905107915391,0.004437217999907261,43,9.71436040497764e-08,score_tolerance_reached_not_global_certificate,,5.773159728050814e-15,0.1425369565965509
rho0.90_N16000_r000,0.9,shallow,16000,0,11441,6555,2405,2481,4559,5734,5707,True,-750.5464061456163,753.5421384191703,stratumwise_add_one,float64 evaluation; not a rational certificate,A_only_histogram,0.4437917051480904,0.1268650645921113,0.18143784979047345,0.27664616633458167,0.0,0.24532588993020876,1.0000000000000002,0.0,0,0.0,deliberately_uncorrected_histogram,,,
rho0.90_N16000_r000,0.9,deep,16000,0,12517,8085,2178,2254,3483,6274,6243,True,-868.1363382969542,871.1320705705083,stratumwise_add_one,float64 evaluation; not a rational certificate,D_completion,0.10103795738473742,0.003931464289787066,0.0025329379864860624,0.04154497311547225,0.033279071736023486,0.04394840071310855,0.9531319273480987,0.009251962000007552,51,9.708228850024381e-08,score_tolerance_reached_not_global_certificate,True,4.0111025612077356e-11,6.938893903907228e-18
rho0.90_N16000_r000,0.9,deep,16000,0,12517,8085,2178,2254,3483,6274,6243,True,-868.1363382969542,871.1320705705083,stratumwise_add_one,float64 evaluation; not a rational certificate,no_D_ablation,0.3212384369955463,0.04039337357017899,0.048456675233116336,0.09259796111342429,0.0,0.04394840071310855,0.980543485188977,0.007302804000005381,51,7.628413967175618e-08,score_tolerance_reached_not_global_certificate,,2.950617528085786e-11,0.033279071736023486
