A,B,C,D,EM_global_optimality,EM_invisible_mass,EM_iterations,EM_positive_score,EM_stop_tolerance_met,EM_tail_class_final,Shat_0,Shat_1,Shat_2,Strue_0,Strue_1,Strue_2,case,coverage_decision,full_parent_empirical_RMSE,lambda,max_mass_sum_error,observed_law_TV,parent_n,raw_min_ell_increment,reference_survival_RMSE,rep,selected_oracle_RMSE,status,train_n,true_in_confidence_set,true_invisible_mass,validation_n
196,480,452,472,not_certified,0.11111111111111115,46,8.34724319924754e-09,True,True,0.46288711989265696,0.35492559821656455,0.11111111111111115,0.5361328125,0.435791015625,0.203125,lambda0_N1600_r001,included,0.014481515305127195,-3/4,4.440892098500626e-16,0.029263602002642226,1600,-4.547473508864641e-13,0.08240287811847889,1,0.21610098555695842,computed,581,True,0.203125,547
229,457,439,475,not_certified,0.11111111111111112,35,9.760419440378124e-09,True,True,0.47824358165182934,0.3601876868930057,0.11111111111111112,0.5361328125,0.435791015625,0.203125,lambda0_N1600_r002,included,0.0024049161045935547,-3/4,4.440892098500626e-16,0.030103761954012036,1600,0.0,0.07644950863589114,2,0.20178082803468217,computed,579,True,0.203125,546
191,492,451,466,not_certified,0.11111111111111138,39,8.878700416464818e-09,True,True,0.4910650550844504,0.3706806991973016,0.11111111111111138,0.5361328125,0.435791015625,0.203125,lambda0_N1600_r003,included,0.0063078000540772545,-3/4,6.661338147750939e-16,0.03229118100934307,1600,-2.2737367544323206e-13,0.07008806796271524,3,0.1920563129034695,computed,546,True,0.203125,588
192,429,513,466,not_certified,0.11111111111111115,41,7.031276471111813e-09,True,True,0.4861983527631575,0.3757792366572589,0.11111111111111115,0.5361328125,0.435791015625,0.203125,lambda0_N1600_r004,included,0.0036740257511527446,-3/4,4.440892098500626e-16,0.047891463327946915,1600,-2.2737367544323206e-13,0.06966926542012661,4,0.19982645628319975,computed,556,True,0.203125,578
194,468,453,485,not_certified,0.11111111111111173,44,8.633625304861247e-09,True,True,0.502286973391984,0.39076683161965564,0.11111111111111173,0.5361328125,0.435791015625,0.203125,lambda0_N1600_r005,included,0.01744893297869912,-3/4,1.1102230246251565e-15,0.02505166950542473,1600,0.0,0.06228770268875841,5,0.18905020632320635,computed,610,True,0.203125,505
195,433,455,517,not_certified,0.11111111111111095,37,7.3686842941138365e-09,True,True,0.4667395647991234,0.37038865337895743,0.11111111111111095,0.5361328125,0.435791015625,0.203125,lambda0_N1600_r006,included,0.01198489154629209,-3/4,6.661338147750939e-16,0.04544271535236914,1600,2.2737367544323206e-13,0.07650587681630436,6,0.2120270219550588,computed,529,True,0.203125,554
197,457,493,453,not_certified,0.11111111111111122,36,8.435789245869077e-09,True,True,0.4739195186542119,0.3708194700210916,0.11111111111111122,0.5361328125,0.435791015625,0.203125,lambda0_N1600_r007,included,0.011468044442935045,-3/4,4.440892098500626e-16,0.025626685753775035,1600,2.2737367544323206e-13,0.07429300419680598,7,0.20250585441071206,computed,601,True,0.203125,546
171,458,462,509,not_certified,0.11111111111111098,49,8.329011594689272e-09,True,True,0.5012013768610193,0.3924191280967647,0.11111111111111098,0.5361328125,0.435791015625,0.203125,lambda0_N1600_r008,included,0.017791743984843574,-3/4,6.661338147750939e-16,0.024958550646399926,1600,2.2737367544323206e-13,0.06209638092519015,8,0.1932952140227225,computed,550,True,0.203125,541
218,481,476,425,not_certified,0.11111111111111105,43,9.518169347157187e-09,True,True,0.47887641273384285,0.3705274886609905,0.11111111111111105,0.5361328125,0.435791015625,0.203125,lambda0_N1600_r009,included,0.026146044685958405,-3/4,6.661338147750939e-16,0.0269953904649109,1600,0.0,0.07303921096329194,9,0.20738210044095942,computed,551,True,0.203125,624
200,505,405,490,not_certified,0.11111111111111116,40,7.114578738355294e-09,True,True,0.49206402942788036,0.37623064947892115,0.11111111111111116,0.5361328125,0.435791015625,0.203125,lambda0_N1600_r010,included,0.014901120330201119,-3/4,4.440892098500626e-16,0.04771714144641943,1600,0.0,0.06820569527874071,10,0.1951179707273271,computed,579,True,0.203125,531
202,473,458,467,not_certified,0.1111111111111113,44,7.393135831886087e-09,True,True,0.47350444830779526,0.36450684246254594,0.1111111111111113,0.5361328125,0.435791015625,0.203125,lambda0_N1600_r011,included,0.003976648355992346,-3/4,6.661338147750939e-16,0.01807453523918057,1600,0.0,0.07631142573538803,11,0.20192359615282046,computed,562,True,0.203125,571
212,480,443,465,not_certified,0.11111111111111141,40,8.38393100416457e-09,True,True,0.4721027939594007,0.36560005369599047,0.11111111111111141,0.5361328125,0.435791015625,0.203125,lambda0_N1600_r012,included,0.007333598594491885,-3/4,6.661338147750939e-16,0.022502030514495994,1600,0.0,0.07636135619383645,12,0.20343313962413037,computed,555,True,0.203125,580
